|Fahrenheit 32.0 | Celsius 0.0|
|Fahrenheit 50.0 | Celsius 10.0|
|Fahrenheit 68.0 | Celsius 20.0|
|Fahrenheit 86.0 | Celsius 30.0|
|Fahrenheit 104.0 | Celsius 40.0|
|Fahrenheit 122.0 | Celsius 50.0|
|Fahrenheit 140.0 | Celsius 60.0|
|Fahrenheit 158.0 | Celsius 70.0|
|Fahrenheit 176.0 | Celsius 80.0|
|Fahrenheit 194.0 | Celsius 90.0|
|Fahrenheit 212.0 | Celsius 100.0|
|Fahrenheit 230.0 | Celsius 110.0|
|Fahrenheit 248.0 | Celsius 120.0|
|Fahrenheit 266.0 | Celsius 130.0|
|Fahrenheit 284.0 | Celsius 140.0|
|Fahrenheit 302.0 | Celsius 150.0|
|Fahrenheit 320.0 | Celsius 160.0|
|Fahrenheit 338.0 | Celsius 170.0|
|Fahrenheit 356.0 | Celsius 180.0|
|Fahrenheit 374.0 | Celsius 190.0|
|Fahrenheit 392.0 | Celsius 200.0|
|Fahrenheit 32.0 | Celsius 0.0|
|Fahrenheit 50.0 | Celsius 10.0|
|Fahrenheit 68.0 | Celsius 20.0|
|Fahrenheit 86.0 | Celsius 30.0|
|Fahrenheit 104.0 | Celsius 40.0|
|Fahrenheit 122.0 | Celsius 50.0|
|Fahrenheit 140.0 | Celsius 60.0|
|Fahrenheit 158.0 | Celsius 70.0|
|Fahrenheit 176.0 | Celsius 80.0|
|Fahrenheit 194.0 | Celsius 90.0|
|Fahrenheit 212.0 | Celsius 100.0|
|Fahrenheit 230.0 | Celsius 110.0|
|Fahrenheit 248.0 | Celsius 120.0|
|Fahrenheit 266.0 | Celsius 130.0|
|Fahrenheit 284.0 | Celsius 140.0|
|Fahrenheit 302.0 | Celsius 150.0|
|Fahrenheit 320.0 | Celsius 160.0|
|Fahrenheit 338.0 | Celsius 170.0|
|Fahrenheit 356.0 | Celsius 180.0|
|Fahrenheit 374.0 | Celsius 190.0|
|Fahrenheit 392.0 | Celsius 200.0|
|Fahrenheit 32.0 | Celsius 0.0|
|Fahrenheit 50.0 | Celsius 10.0|
|Fahrenheit 68.0 | Celsius 20.0|
|Fahrenheit 86.0 | Celsius 30.0|
|Fahrenheit 104.0 | Celsius 40.0|
|Fahrenheit 122.0 | Celsius 50.0|
|Fahrenheit 140.0 | Celsius 60.0|
|Fahrenheit 158.0 | Celsius 70.0|
|Fahrenheit 176.0 | Celsius 80.0|
|Fahrenheit 194.0 | Celsius 90.0|
|Fahrenheit 212.0 | Celsius 100.0|
|Fahrenheit 230.0 | Celsius 110.0|
|Fahrenheit 248.0 | Celsius 120.0|
|Fahrenheit 266.0 | Celsius 130.0|
|Fahrenheit 284.0 | Celsius 140.0|
|Fahrenheit 302.0 | Celsius 150.0|
|Fahrenheit 320.0 | Celsius 160.0|
|Fahrenheit 338.0 | Celsius 170.0|
|Fahrenheit 356.0 | Celsius 180.0|
|Fahrenheit 374.0 | Celsius 190.0|
|Fahrenheit 392.0 | Celsius 200.0|
